question_id,condition,correct,n_samples,popularity_raw,popularity_bin,conf_ptrue,conf_verbalized,conf_seqlik
1009429,closed,0.0,5,41.0,low,0.517312869257432,1.0,0.5997202071983897
1009429,irr,0.0,5,41.0,low,0.025898611896698388,1.0,0.7429961707572005
1009429,mis,0.0,5,41.0,low,0.9737007042321236,1.0,0.6617894317558435
1009429,same_entity_irr,0.0,5,41.0,low,0.6131971062487216,1.0,0.5827338232650655
1009429,sup,0.0,5,41.0,low,0.9523264699140774,1.0,0.9018607881596086
1026190,closed,0.2,5,72.0,low,0.23369902075313598,1.0,0.3785617995715288
1026190,irr,0.2,5,72.0,low,0.010542657358933945,0.9800000000000001,0.5739829578794782
1026190,mis,0.0,5,72.0,low,0.9947445116533518,1.0,0.982760454725301
1026190,same_entity_irr,0.0,5,72.0,low,0.06314145876288109,0.4,0.6839793477604535
1026190,sup,1.0,5,72.0,low,0.561705067153049,1.0,0.9561563038782805
1033301,closed,0.0,5,212.0,low,0.2744109406967289,0.9399999999999998,0.3930427912611603
1033301,irr,0.0,5,212.0,low,0.012859044425460788,1.0,0.7610647271813923
1033301,mis,0.0,5,212.0,low,0.9970992201668991,1.0,0.8329547726822331
1033301,same_entity_irr,0.0,5,212.0,low,0.998490630281735,1.0,0.8934670054491812
1033301,sup,0.0,5,212.0,low,0.9980661474054063,1.0,0.897268120585958
1033941,closed,0.0,5,13303.0,high,0.1643390782270553,0.9800000000000001,0.3243134784685598
1033941,irr,0.0,5,13303.0,high,0.01132239250996719,1.0,0.9061184229389063
1033941,mis,0.0,5,13303.0,high,0.8807267868310984,1.0,0.9947853965342792
1033941,same_entity_irr,0.0,5,13303.0,high,0.339771654040837,1.0,0.4504773460043941
1033941,sup,0.0,5,13303.0,high,0.28883314659737674,0.8,0.5322933064187914
1051649,closed,0.0,5,129.0,low,0.46058426743481595,0.9800000000000001,0.5667160450397105
1051649,irr,0.0,5,129.0,low,0.041699166372237306,0.8,0.8637015561962205
1051649,mis,0.0,5,129.0,low,0.98901671304423,1.0,0.9959476750077144
1051649,same_entity_irr,0.0,5,129.0,low,0.18053790795375751,0.6,0.605772320595215
1051649,sup,1.0,5,129.0,low,0.9958980586927352,1.0,0.992637287795327
1056361,closed,0.0,5,45.0,low,0.20826933019118007,1.0,0.49727441994701466
1056361,irr,0.0,5,45.0,low,0.007921237894708416,0.0,0.6733197222877337
1056361,mis,0.0,5,45.0,low,0.9947249735462849,1.0,0.9406098431328889
1056361,same_entity_irr,0.0,5,45.0,low,0.6217059033187514,1.0,0.9296744580193959
1056361,sup,0.0,5,45.0,low,0.15089589831411532,1.0,0.722893254588742
1139294,closed,0.0,5,647.0,mid,0.49727268315192463,1.0,0.3662305282111581
1139294,irr,0.0,5,647.0,mid,0.268762503682509,1.0,0.9457600699803649
1139294,mis,0.0,5,647.0,mid,0.9932671360337807,1.0,0.9905754413393619
1139294,same_entity_irr,0.0,5,647.0,mid,0.41755691683249535,0.2,0.6853060053933625
1139294,sup,0.0,5,647.0,mid,0.14821036074418187,1.0,0.9283952562116266
1154701,closed,0.0,5,1344.0,mid,0.26374367707680857,0.78,0.391049846085475
1154701,irr,0.0,5,1344.0,mid,0.03293885043152643,0.0,0.5551999657925981
1154701,mis,0.0,5,1344.0,mid,0.9913722799821792,1.0,0.9721914163348954
1154701,same_entity_irr,0.0,5,1344.0,mid,0.10211546950325542,0.8,0.4728081486113117
1154701,sup,1.0,5,1344.0,mid,0.9975182520418674,1.0,0.9956387125254714
1159773,closed,0.0,5,1607.0,mid,0.16627743624119068,0.97,0.454802974036174
1159773,irr,0.0,5,1607.0,mid,0.009317219043300877,0.8,0.8498730578397303
1159773,mis,0.0,5,1607.0,mid,0.9958702538400355,1.0,0.9898780872153742
1159773,same_entity_irr,1.0,5,1607.0,mid,0.8172178243763264,1.0,0.9212649298504052
1159773,sup,1.0,5,1607.0,mid,0.970619201702212,1.0,0.9963440619726487
1160778,closed,0.0,5,188.0,low,0.3731807092898737,0.96,0.287537752387364
1160778,irr,0.0,5,188.0,low,0.10267073681648606,0.96,0.4176430908025681
1160778,mis,0.0,5,188.0,low,0.709117008565818,1.0,0.8845517914186296
1160778,same_entity_irr,0.0,5,188.0,low,0.2531037669551468,0.78,0.5193210402718574
1160778,sup,1.0,5,188.0,low,0.9770577242262979,1.0,0.9979920308416957
1161994,closed,0.0,5,220.0,low,0.22342755603457184,0.79,0.44383626105866
1161994,irr,0.0,5,220.0,low,0.16095105538301951,0.8,0.7693334732956627
1161994,mis,0.0,5,220.0,low,0.9913455025495642,1.0,0.9964639625184166
1161994,same_entity_irr,0.0,5,220.0,low,0.7058856300498835,0.8,0.5978911335971085
